Subject,Topic,Level,Accuracy,Time,New_Subject,New_Topic,New_Level
DSA,Searching & Sorting,hard,38.12,495,DSA,Searching & Sorting,easy
DBMS,Transactions & Concurrency Control,medium,61.51,455,DBMS,Indexing,medium
CN,Network Security,easy,90.71,446,CN,Transport Layer Protocols,hard
DSA,Graphs,hard,75.55,465,DSA,Searching & Sorting,hard
CN,TCP/IP Model,easy,88.06,541,CN,Routing Algorithms,hard
CN,Application Layer Protocols,medium,60.07,251,CN,Application Layer Protocols,medium
DBMS,Relational Model,hard,89.09,213,DBMS,Relational Model,hard
Operating System,Interprocess Communication (IPC),hard,58.95,238,Operating System,Virtual Memory,hard
Operating System,Interprocess Communication (IPC),easy,82.24,188,Operating System,Synchronization,easy
DSA,Linked List,medium,59.96,293,DSA,Greedy Algorithms,medium
Operating System,Synchronization,hard,62.68,545,Operating System,Virtual Memory,hard
CN,Network Security,easy,47.1,201,CN,Network Security,easy
DBMS,Relational Model,medium,43.93,207,DBMS,Relational Model,easy
DSA,Linked List,medium,63.81,373,DSA,Recursion & Backtracking,medium
DSA,Dynamic Programming,medium,45.28,147,DSA,Dynamic Programming,easy
Operating System,Disk Scheduling,hard,82.63,159,Operating System,CPU Scheduling,hard
DBMS,File Organization,medium,93.74,530,DBMS,ER Model,hard
CN,Transport Layer Protocols,hard,30.39,407,CN,Transport Layer Protocols,easy
DBMS,ACID Properties,hard,39.74,357,DBMS,ACID Properties,easy
DSA,Linked List,easy,68.85,239,DSA,Arrays & Strings,easy
DBMS,Relational Model,medium,71.61,219,DBMS,SQL Queries,medium
CN,IP Addressing & Subnetting,medium,88.07,463,CN,Network Security,hard
DSA,Stacks & Queues,easy,83.8,331,DSA,Searching & Sorting,easy
Operating System,Synchronization,easy,41.57,374,Operating System,Synchronization,easy
CN,Routing Algorithms,hard,99.77,491,CN,Network Security,hard
DSA,Arrays & Strings,hard,80.8,506,DSA,Greedy Algorithms,hard
CN,IP Addressing & Subnetting,hard,84.06,329,CN,OSI Model,hard
CN,Switching Techniques,hard,34.89,345,CN,Switching Techniques,easy
DSA,Arrays & Strings,hard,61.93,345,DSA,Greedy Algorithms,hard
DSA,Searching & Sorting,medium,39.84,472,DSA,Searching & Sorting,easy
DSA,Greedy Algorithms,easy,82.97,579,DSA,Trees,easy
DBMS,ACID Properties,hard,91.74,352,DBMS,File Organization,hard
DSA,Recursion & Backtracking,hard,83.45,502,DSA,Recursion & Backtracking,hard
DSA,Recursion & Backtracking,medium,95.09,421,DSA,Graphs,hard
DSA,Recursion & Backtracking,hard,63.9,448,DSA,Recursion & Backtracking,hard
DBMS,Transactions & Concurrency Control,hard,86.07,379,DBMS,ACID Properties,hard
Operating System,Process Management,hard,38.27,455,Operating System,Process Management,easy
DSA,Searching & Sorting,easy,80.65,226,DSA,Searching & Sorting,easy
DSA,Stacks & Queues,hard,63.2,436,DSA,Recursion & Backtracking,hard
CN,Switching Techniques,medium,49.71,188,CN,Switching Techniques,easy
DSA,Trees,easy,77.39,338,DSA,Searching & Sorting,easy
DBMS,Joins,medium,81.44,507,DBMS,Indexing,medium
DBMS,ACID Properties,medium,57.53,213,DBMS,Normalization,medium
DBMS,ACID Properties,medium,63.55,354,DBMS,ER Model,medium
Operating System,Deadlocks,hard,98.15,326,Operating System,I/O Management,hard
DBMS,Relational Model,easy,83.08,546,DBMS,Transactions & Concurrency Control,easy
DBMS,SQL Queries,medium,55.95,394,DBMS,Indexing,medium
CN,TCP/IP Model,easy,30.09,495,CN,TCP/IP Model,easy
Operating System,File System,medium,99.74,233,Operating System,Disk Scheduling,hard
CN,Data Link Layer Protocols,hard,95.45,292,CN,Transport Layer Protocols,hard
DBMS,Transactions & Concurrency Control,hard,32.45,530,DBMS,Transactions & Concurrency Control,easy
DSA,Graphs,easy,30.08,363,DSA,Graphs,easy
DBMS,ER Model,hard,88.76,316,DBMS,SQL Queries,hard
DSA,Graphs,easy,30.51,300,DSA,Graphs,easy
Operating System,Memory Management,hard,47.38,368,Operating System,Memory Management,easy
DSA,Linked List,medium,43.29,507,DSA,Linked List,easy
DSA,Greedy Algorithms,hard,38.81,241,DSA,Greedy Algorithms,easy
DSA,Arrays & Strings,hard,64.94,201,DSA,Greedy Algorithms,hard
CN,Data Link Layer Protocols,hard,56.75,600,CN,Application Layer Protocols,hard
CN,IP Addressing & Subnetting,medium,46.12,323,CN,IP Addressing & Subnetting,easy
DBMS,ER Model,easy,32.42,483,DBMS,ER Model,easy
DSA,Trees,easy,94.28,352,DSA,Greedy Algorithms,hard
Operating System,Process Management,medium,35.77,219,Operating System,Process Management,easy
Operating System,Process Management,medium,57.32,508,Operating System,CPU Scheduling,medium
DBMS,ER Model,easy,56.02,398,DBMS,ACID Properties,easy
DBMS,Indexing,medium,49.23,251,DBMS,Indexing,easy
Operating System,Process Management,hard,30.76,396,Operating System,Process Management,easy
CN,IP Addressing & Subnetting,medium,93.59,280,CN,Transport Layer Protocols,hard
CN,Switching Techniques,medium,91.5,262,CN,TCP/IP Model,hard
Operating System,Paging & Segmentation,hard,99.35,159,Operating System,Virtual Memory,hard
DBMS,Normalization,medium,45.11,199,DBMS,Normalization,easy
DSA,Greedy Algorithms,easy,67.51,292,DSA,Searching & Sorting,easy
CN,Transport Layer Protocols,easy,61.23,481,CN,Switching Techniques,easy
CN,OSI Model,medium,76.01,275,CN,Application Layer Protocols,medium
DSA,Linked List,medium,51.59,430,DSA,Stacks & Queues,medium
DBMS,Transactions & Concurrency Control,medium,79.13,258,DBMS,File Organization,medium
DBMS,Relational Model,easy,71.99,150,DBMS,Normalization,easy
CN,Transport Layer Protocols,medium,55.15,376,CN,Switching Techniques,medium
CN,OSI Model,easy,46.88,279,CN,OSI Model,easy
DSA,Greedy Algorithms,easy,61.91,354,DSA,Dynamic Programming,easy
DSA,Greedy Algorithms,hard,95.04,233,DSA,Recursion & Backtracking,hard
Operating System,System Calls,easy,35.01,467,Operating System,System Calls,easy
CN,Transport Layer Protocols,easy,53.85,593,CN,IP Addressing & Subnetting,easy
DSA,Greedy Algorithms,medium,60.73,569,DSA,Recursion & Backtracking,medium
DSA,Stacks & Queues,easy,66.32,297,DSA,Trees,easy
DSA,Linked List,hard,72.59,235,DSA,Arrays & Strings,hard
DBMS,File Organization,medium,74.41,592,DBMS,Indexing,medium
Operating System,Interprocess Communication (IPC),easy,45.17,542,Operating System,Interprocess Communication (IPC),easy
DBMS,Indexing,medium,78.87,148,DBMS,Transactions & Concurrency Control,medium
CN,Data Link Layer Protocols,hard,54.16,526,CN,Switching Techniques,hard
Operating System,Process Management,hard,65.67,525,Operating System,Synchronization,hard
CN,Transport Layer Protocols,hard,35.05,533,CN,Transport Layer Protocols,easy
CN,TCP/IP Model,medium,98.5,263,CN,IP Addressing & Subnetting,hard
DBMS,SQL Queries,easy,52.94,209,DBMS,SQL Queries,easy
DBMS,Indexing,medium,51.16,428,DBMS,Normalization,medium
DSA,Stacks & Queues,medium,84.33,399,DSA,Trees,medium
DSA,Greedy Algorithms,hard,44.94,567,DSA,Greedy Algorithms,easy
DBMS,SQL Queries,medium,58.01,370,DBMS,Relational Model,medium
Operating System,Memory Management,easy,59.7,276,Operating System,I/O Management,easy
CN,Network Security,easy,63.38,448,CN,IP Addressing & Subnetting,easy
DBMS,Indexing,easy,40.33,366,DBMS,Indexing,easy
Operating System,Memory Management,hard,95.4,525,Operating System,Threading & Concurrency,hard
DBMS,Normalization,hard,42.67,563,DBMS,Normalization,easy
Operating System,File System,easy,81.36,302,Operating System,Synchronization,easy
DSA,Arrays & Strings,easy,51.52,129,DSA,Recursion & Backtracking,easy
DBMS,Normalization,hard,49.13,394,DBMS,Normalization,easy
DBMS,Transactions & Concurrency Control,medium,67.38,226,DBMS,File Organization,medium
DSA,Graphs,easy,80.95,419,DSA,Stacks & Queues,easy
DBMS,ER Model,medium,57.95,329,DBMS,Indexing,medium
DBMS,Indexing,hard,62.82,447,DBMS,Transactions & Concurrency Control,hard
CN,Network Security,easy,88.47,354,CN,Switching Techniques,hard
Operating System,Paging & Segmentation,easy,53.29,469,Operating System,I/O Management,easy
DSA,Graphs,medium,82.56,474,DSA,Graphs,medium
DBMS,Joins,easy,84.91,253,DBMS,SQL Queries,easy
Operating System,Deadlocks,hard,96.36,536,Operating System,Banker's Algorithm,hard
